grammar_error_sentence,corrected_sentence,spelling_error_sentences
මම ගමට යනවා,මම ගමට යමි,මම ගට යමි
ඔහු පාසලට ගිය,ඔහු පාසලට ගියේය,ඔහු පසලට ගියය
අපි ගඟේ දිය නෑවෙම,අපි ගඟේ දිය නෑවෙමු,අ ගඟේ දිය නෑවෙමු
ඔවුන් විභාගය ජයග්‍රහණය කළමු,ඔවුන් විභාගය ජයග්‍රහණය කළහ,ඔවන විභාගය ජයග්‍හණය කළහ
ඔහු ගෙදරට ආවායය,ඔහු ගෙදරට ආවේය,ඔහු ගෙදරට ආවේය
ගුරුවරයා පාඩම ඉගැන්වීමුමු,ගුරුවරයා පාඩම ඉගැන්වීය,ගුරුවරයා පාඩම ගැන්වීය
මේ නගරය වර්ධනය වේ,මේ නගරය වර්ධනය වේ,මේ නගරය වර්ධය වේ
මගේ මිතුරා මට උදව් කළේය,මගේ මිතුරා මට උදව් කළේය,මගෙ මිතුරා ම උදව් කළේය
අපේ පාසල ප්‍රථම ස්ථානයට පැමිණියා,අපේ පාසල ප්‍රථම ස්ථානයට පැමිණියා,අපේ පාසල ප්‍රථම ස්ථානයට පැමිණියා
ඔවුන් ව්‍යාපෘතිය සාර්ථකව නිම කළේය,ඔවුන් ව්‍යාපෘතිය සාර්ථකව නිම කළහ,ඔවු ව්‍යාපෘතිය සාර්ථකව නිම කළහ
මේ පොත හොඳ,මේ පොත හොඳයි,මේ පත හොඳයි
මම අද පාසලට යනව,මම අද පාසලට යමි,මම අද පාසලට යමි
ගමන අවසානයේ අපි සතුටු වියෙම,ගමන අවසානයේ අපි සතුටු වියෙමු,ගමන අවසානය අපි සතටු වියෙමු
ඔබගේ මිතුරාගේ නම කුමද?,ඔබගේ මිතුරාගේ නම කුමක්ද?,ඔබගේ මිතුගේ නම කුමක්ද?
ඔවුන් රැකියාව ආරම්භ කළහ,ඔවුන් රැකියාව ආරම්භ කළහ,ඔවුන රැකියාව ආරම්භ කළහ
මම ගැටලුව පිළිබඳව විස්තර කළෙම,මම ගැටලුව පිළිබඳව විස්තර කළෙමි,මම ගැටලව පිළිබඳව විස්තර කළෙමි
ගමන සාර්ථක විය,ගමන සාර්ථක විය,ගමන සාරථක විය
අපිට නව ව්‍යාපෘතියක් ලැබුනා,අපිට නව ව්‍යාපෘතියක් ලැබුනා,අපිට නව ව්‍යාපෘතිය ලැබුනා
මම ගෘහස්ත කාර්යය ඉක්මනින් නිම කළෙමුමු,මම ගෘහස්ත කාර්යය ඉක්මනින් නිම කළෙමි,මම ගෘහස්ත කාර්යය ඉක්මනින් නම කළෙමි
ඔහුගේ පරීක්ෂණය සාර්ථක විය,ඔහුගේ පරීක්ෂණය සාර්ථක විය,ඔහුගේ පරීක්ෂණය සාරථක විය
මගේ නම ලේඛනයේ සටහන් වේ,මගේ නම ලේඛනයේ සටහන් වේ,මගෙ නම ලේඛනයේ ටහන් වේ
අපි ගමනේදී ගිගුම් සහිත වැසි දැක්කෙයය,අපි ගමනේදී ගිගුම් සහිත වැසි දැක්කෙමු,අපි ගමනේදී ගිගුම සහිත වැසි දැක්කෙමු
ඔවුන්ගේ විශේෂණය හොඳින් සදහන් වේ,ඔවුන්ගේ විශේෂණය හොඳින් සදහන් වේ,ඔවුනගේ විශේෂය හොඳින් සහන් වේ
මේ ගඟ දිය ගලයි,මේ ගඟේ දිය ගලයි,මේ ගඟේ දිය ගලයි
ඔවුන් විසින් ගෘහස්ත කාර්යය සාර්ථකව කළමිමි,ඔවුන් විසින් ගෘහස්ත කාර්යය සාර්ථකව කළහ,ඔවුන විසින් ගහස්ත කාර්යය සාර්ථකව කළහ
අපේ පවුලේ සතුන් ඉතා සන්තෝසයෙන් සිටිත,අපේ පවුලේ සතුන් ඉතා සන්තෝසයෙන් සිටිති,අපේ පවුලේ සතුන ඉතා සන්තෝසයෙන් සිටති
ඔහුගේ ප්‍රකාශය නිවැරදි වේ,ඔහුගේ ප්‍රකාශය නිවැරදි වේ,ඔහුගේ ප්‍රකාශය නිවරදි වේ
අපි අලුත් මාර්ගය පරීක්ෂා කළෙම,අපි අලුත් මාර්ගය පරීක්ෂා කළෙමු,අපි අලුත් මාර්ගය පරීක්ෂ කළෙමු
ඔබගේ නම ලේඛනයේ දැක්කා?,ඔබගේ නම ලේඛනයේ දැක්කාද?,ඔබගේ නම ලේඛයේ දැක්කාද?
ඔවුන්ගේ ජීවිත සාර්ථකයි,ඔවුන්ගේ ජීවිත සාර්ථකයි,ඔවුනගේ ජීවිත සාර්කයි
මම ගෘහස්ත කාර්යය සාර්ථකව නිම කළෙහහ,මම ගෘහස්ත කාර්යය සාර්ථකව නිම කළෙමි,මම ගහස්ත කාර්යය සාර්ථකව නිම කළෙමි
